FID,HUC10,spcode,SUM_Shape_
0,0101000201,A073,0.051168903
1,0101000201,E07L,0.051168903
2,0101000202,A073,0.038909213
3,0101000203,A073,0.06505116
4,0101000204,A073,0.043706039
5,0101000205,A073,0.047126821
6,0101000206,A073,0.030923194
7,0101000207,A073,0.098637352
8,0101000301,A073,0.039292131
9,0101000302,A073,0.084234298
10,0101000303,A073,0.108279011
11,0101000304,A073,0.040993571
12,0101000401,A073,0.032876062
13,0101000401,E07L,0.032876062
14,0101000402,A073,0.036511913
15,0101000403,A073,0.051503496
16,0101000404,A073,0.024828858
17,0101000404,E07L,0.024828858
18,0101000405,A073,0.072370983
19,0101000405,E07L,0.072370983
20,0101000406,A073,0.053303933
21,0101000406,E07L,0.053303933
22,0101000407,A073,0.044542158
23,0101000408,A073,0.055651409
24,0101000409,A073,0.113826605
25,0101000410,A073,0.105363278
26,0101000411,A073,0.152209218
27,0101000501,E07L,0.020127941
28,0101000502,A073,0.045019189
29,0101000503,A073,0.089786389
30,0101000503,E07L,0.089786389
31,0101000601,A073,0.107088993
32,0101000602,A073,0.106775144
33,0101000701,A073,0.032060672
34,0101000702,A073,0.103751345
35,0101000703,A073,0.088694283
36,0101000704,A073,0.052688847
37,0101000705,A073,0.074484429
38,0101000706,A073,0.080553492
39,0101000707,A073,0.022855288
40,0101000801,A073,0.033905842
41,0101000804,A073,0.081462548
42,0101000906,A073,0.110576136
43,0101001002,A073,0.071038518
44,0102000101,A073,0.07723925
45,0102000102,A073,0.080085205
46,0102000103,A073,0.094331743
47,0102000104,A073,0.053835942
48,0102000105,A073,0.121966693
49,0102000106,A073,0.018588993
50,0102000106,E07L,0.018588993
51,0102000107,A073,0.030361412
52,0102000108,A073,0.025349471
53,0102000108,E07L,0.025349471
54,0102000109,A073,0.074970636
55,0102000109,E07L,0.074970636
56,0102000110,A073,0.06329888
57,0102000110,E07L,0.06329888
58,0102000201,A073,0.088046515
59,0102000201,E07L,0.088046515
60,0102000202,A073,0.060894476
61,0102000202,E07L,0.060894476
62,0102000203,A073,0.026702814
63,0102000203,E07L,0.026702814
64,0102000204,A073,0.081232526
65,0102000204,E07L,0.081232526
66,0102000205,A073,0.080859467
67,0102000205,E07L,0.080859467
68,0102000301,A073,0.111193812
69,0102000301,E07L,0.111193812
70,0102000302,A073,0.050194994
71,0102000302,E07L,0.050194994
72,0102000303,E07L,0.030053782
73,0102000304,E07L,0.06957387
74,0102000305,E07L,0.083158251
75,0102000306,A073,0.070214636
76,0102000306,E07L,0.070214636
77,0102000307,E07L,0.037415271
78,0102000401,E07L,0.078369352
79,0102000402,E07L,0.053240158
80,0102000403,A073,0.104859351
81,0102000403,E07L,0.104859351
82,0102000404,A073,0.100824937
83,0102000404,E07L,0.100824937
84,0102000405,A073,0.048271014
85,0102000405,E07L,0.048271014
86,0102000406,E07L,0.049070133
87,0102000501,A073,0.048057767
88,0102000501,E07L,0.048057767
89,0102000502,E07L,0.089211516
90,0102000503,E07L,0.117718784
91,0102000504,E07L,0.077579152
92,0102000505,E07L,0.090518462
93,0102000506,E07L,0.037435624
94,0102000507,E07L,0.06417632
95,0102000508,E07L,0.045077097
96,0102000509,E07L,0.049576994
97,0102000510,E07L,0.088733082
98,0103000101,A073,0.02049275
99,0103000102,A073,0.053918977
100,0103000103,A073,0.099735279
101,0103000104,A073,0.041802083
102,0103000105,A073,0.162464036
