OID,SPCODE,STATE
1,A02N,AK
2,A02M,AK
3,A00R,AK
4,A0K5,AK
5,A0HK,AK
6,A0FS,AK
7,B00Y,AK
8,A02T,AK
9,S00V,AK
10,B090,AK
11,B08Z,AK
12,A0IJ,AK
13,E04W,AL
14,Q1ST,AL
15,Q1SW,AL
16,Q02R,AL
17,S00O,AL
18,G016,AL
19,A02O,AL
20,B0DM,AL
21,G098,AL
22,C00U,AL
23,B079,AL
24,Q315,AL
25,Q2SM,AL
26,E01L,AL
27,F00X,AL
28,E05Y,AL
29,F02H,AL
30,Q28M,AL
31,C00F,AL
32,F00K,AL
33,C026,AL
34,E05B,AL
35,G063,AL
36,F03O,AL
37,F02E,AL
38,F01F,AL
39,F01T,AL
40,F005,AL
41,F02F,AL
42,F02D,AL
43,F012,AL
44,F03J,AL
45,C00E,AL
46,E012,AL
47,E01B,AL
48,E098,AL
49,E00U,AL
50,E0AB,AL
51,E05P,AL
52,F03W,AL
53,F00Q,AL
54,F00O,AL
55,F02T,AL
56,F02G,AL
57,C044,AL
58,F030,AL
59,Q3HO,AL
60,F01X,AL
61,S00T,AL
62,F00G,AL
63,F02X,AL
64,F01S,AL
65,F02Y,AL
66,F00A,AL
67,Q12K,AL
68,C00O,AL
69,G08D,AL
70,G0C2,AL
71,G08C,AL
72,G08B,AL
73,G07F,AL
74,Q1XX,AL
75,Q2CO,AL
76,G072,AL
77,F01W,AL
78,Q1YT,AL
79,F038,AL
80,F039,AL
81,F03M,AL
82,A02Q,AL
83,B06O,AL
84,A04J,AL
85,A0JE,AL
86,A000,AL
87,I00K,AL
88,E04E,AL
89,E04C,AL
90,F00S,AL
91,K01V,AL
92,F00L,AL
93,E05S,AL
94,E010,AL
95,A08Y,AL
96,A08C,AL
97,D00C,AL
98,B04F,AL
99,C029,AL
100,F00M,AL
101,F00R,AL
102,F046,AL
103,F036,AL
104,F03A,AL
105,F03B,AL
106,F03Z,AL
107,F013,AL
108,F035,AL
109,F00P,AL
110,F02S,AL
111,F03V,AL
112,F014,AL
113,G06V,AL
114,F01Y,AL
115,F01O,AL
116,C01W,AL
117,Q2H9,AL
118,F037,AL
119,F02N,AL
120,G03B,AL
121,F03X,AL
122,F00E,AL
123,F027,AL
124,Q2VT,AL
125,Q21B,AL
126,Q2HZ,AL
127,E026,AL
128,Q2I4,AL
129,E011,AL
